BROKER,PROJECT,PMFKEY,STATUS
cscr102,UJMO*,minni01,active
cscr102,AutoSys*,minni01,active
cscr105,Aion BRE*,svami01,active
cscr106,Development - Forest And Trees*,puiro01,eol
cscr108,QRT*,urqst01,active
cscr108,Visual Express*,urqst01,active
cscr110,CleverPath*,puiro01,eol
cscr112,Eureka*,puiro01,eol
cscr201,PEC*,puiro01,active
cscr201,CAM*,minni01,active
cscr201,DBM*,minni01,active
cscr504,Chorus-Storage*,stoda04,active
cscr504,Distributed Storage Chorus Role*,stoda04,active
cscr504,SRM*,giero01,active
cscr504,CA Vantage*,giero01,active
cscr602,ACMEW*,puiro01,active
cscr605,gen*,puiro01,active
cscr606-12.5,ACMEW*,puiro01,active
cscr606-12.5,ACMEW*,puiro01,active
cscr606-12.5,AEECL*,puiro01,active
cscr606-12.5,AENWS*,puiro01,active
cscr606-12.5,AOU*,puiro01,active
cscr606-12.5,CA Endevor*,puiro01,active
cscr606-12.5,SCM Catalyst*,puiro01,active
cscr606-12.5,*,puiro01,active
cscr610,SSA*,minni01,active
cscr702,*,mansu11,eol
cscr801,CA_Driver*,stoda04,active
cscr801,File Master*,puiro01,active
cscr801,InterTest*,puiro01,active
cscr801,Realia*,puiro01,active
cscr801,CA_Scheduler*,stoda04,active
cscr801,SymDump*,puiro01,active
cscr801,TRILOG*,puiro01,active
cscr801,VMTools*,jambr01,active
cscr802,CA IDMS*,rosda01,active
cscr803,CA Telon*,svami01,active
cscr806,MLINK*,stoda04,active
cscr806,XCOM*,giero01,active
cscr808,CA Plex*,puiro01,active
cscr809,ERM JLPR*,kokja01,active
cscr809,OM Document*,jambr01,active
cscr809,OM JLPR*,kokja01,active
cscr809,OM RTC*,jambr01,active
cscr809,OM Shared*,jambr01,active
cscr809,OM Tools*,jambr01,active
cscr809,OM Web*,jambr01,active
cscr809,OM Xerox*,jambr01,active
cscr810,MICS*,jambr01,active
cscr903,DMM*,minni01,active
cscr904,WebCenter*,norst02,active
cscr920,CCIPC*,gulga01,active
cscr1203,EZT*,svami01,active
